,100,150,200,250,300,400,500,600,800,1000,1200
200,0.02,0.03,0.04,,,,,,,,
250,0.025,0.038,0.05,0.063,,,,,,,
300,0.03,0.045,0.06,0.075,0.09,,,,,,
400,0.04,0.06,0.08,0.1,0.12,0.16,,,,,
500,,0.075,0.1,0.13,0.15,0.2,0.25,,,,
600,,0.09,0.12,0.15,0.18,0.24,0.3,0.36,,,
800,,,0.16,0.2,0.24,0.32,0.4,0.48,0.64,,
1000,,,,0.25,0.3,0.4,0.5,0.6,0.8,1,
1200,,,,,0.36,0.48,0.6,0.72,0.96,1.2,1.44
1400,,,,,,0.56,0.7,0.84,1.12,1.4,1.68
1600,,,,,,0.64,0.8,0.96,1.28,1.6,1.92
1800,,,,,,,0.9,1.08,1.44,1.8,2.16
2000,,,,,,,1,1.2,1.6,2,2.4
